,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal_(Y/N),Time,Species,original_order,Continent
4053,Oct,1959.0,Unprovoked,papua new guinea,Madang,Taludig,,F,27.32,N,,Unespcific,2250.0,Oceania
4054,Oct,1959.0,Unprovoked,usa,California,"Bodega Rock, Sonoma County",Diving,M,30.0,N,afternoon,White shark,2249.0,North_America
4055,Oct,1959.0,Unprovoked,fiji,Lomaiviti Province,"Levuka, Ovalau Island",On_boat,M,27.32,Y,,Unespcific,2248.0,Oceania
4056,Oct,1959.0,Unprovoked,fiji,Kadavu,Great Astrolabe Reef,Fish,M,36.0,N,afternoon,Tiger shark,2247.0,Oceania
4057,Sep,1959.0,Unprovoked,philippines,Leyte Island,Luang Dulag,Swim,M,28.0,N,,Unespcific,2246.0,Asia
4058,Sep,1959.0,Invalid,bermuda,Hamilton,Astwood's Cove,,F,29.0,,,Tiger shark,2245.0,Unknown
4059,Sep,1959.0,Sea Disaster,usa,Florida,"Off Port Everglades, Broward County",Seashore,M,30.0,N,afternoon,Tiger shark,2244.0,North_America
4060,Sep,1959.0,Boat,usa,South Carolina,"Albergotti Creek, near Air Station boat docks, Beaufort",Diving,F,27.32,,night,White shark,2243.0,North_America
4061,Sep,1959.0,Boat,usa,California,"Between False Klamath & mouth of Klamath River, Del Norte County",On_boat,M,27.32,N,afternoon,White shark,2242.0,North_America
4062,Sep,1959.0,Unprovoked,india,Orissa,Machhagan,,M,27.32,Y,,Unespcific,2241.0,Unknown
4063,Sep,1959.0,Invalid,usa,New York,"Oak Beach, Fire Inlet",Rare_act.,M,27.32,,,Tiger shark,2240.0,North_America
4064,Sep,1959.0,Unprovoked,mexico,Guerrrero,Acapulco,,F,27.32,Y,,Unespcific,2239.0,Central_America
4065,Aug,1959.0,Boat,azores,,Sao Miguel,Fish,F,27.32,N,,White shark,2238.0,Unknown
4066,Aug,1959.0,Invalid,australia,Tasmania,,Swim,M,27.32,,,Lemon shark,2237.0,Oceania
4067,Aug,1959.0,Invalid,japan,Hokkaido Prefecture,"Okushiri Island, Hiyama Subprefecture",,M,14.0,,,Tiger shark,2236.0,Unknown
4068,Aug,1959.0,Invalid,philippines,North Palawan,Cabuli Island,On_boat,M,10.0,,night-morning,Tiger shark,2235.0,Asia
4069,Aug,1959.0,Invalid,usa,Florida,"Panama City, Bay County",Diving,M,21.0,,,Lemon shark,2234.0,North_America
4070,Aug,1959.0,Unprovoked,usa,Florida,"Panama City, Bay County",Fish,M,26.0,Y,,Unespcific,2233.0,North_America
4071,Aug,1959.0,Provoked,usa,South Carolina,Charleston,Fish,M,27.32,N,,Unespcific,2232.0,North_America
4072,Aug,1959.0,Sea Disaster,philippines,Queaon,Between Unisan & Angadanan Islands,Fish,F,27.32,Y,afternoon,Unespcific,2231.0,Asia
4073,Aug,1959.0,Provoked,usa,California,"LaJolla, San Diego County",Fish,M,32.0,N,,Unespcific,2230.0,North_America
4074,Aug,1959.0,Provoked,croatia,Istria,Pula,Fish,M,27.32,N,,Unespcific,2229.0,Unknown
4075,Aug,1959.0,Unprovoked,japan,Wakayama Prefecture,"Isonoura Beach, Wakayama City ",Swim,M,13.0,Y,afternoon,Lemon shark,2228.0,Unknown
