,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal_(Y/N),Time,Species,original_order,Continent
0,Jun,2018.0,Boat,usa,California,"Oceanside, San Diego County",Rare_act.,F,57.0,N,night,White shark,6303.0,North_America
1,Jun,2018.0,Unprovoked,usa,Georgia,"St. Simon Island, Glynn County",Seashore,F,11.0,N,afternoon,Unespcific,6302.0,North_America
2,Jun,2018.0,Invalid,usa,Hawaii,"Habush, Oahu",Surf,M,48.0,N,day-morning,Unespcific,6301.0,North_America
3,Jun,2018.0,Unprovoked,australia,New South Wales,Arrawarra Headland,Surf,M,27.32,N,,Unespcific,6300.0,Oceania
4,Jun,2018.0,Provoked,mexico,Colima,La Ticla,Diving,M,27.32,N,,Tiger shark,6299.0,Central_America
5,Jun,2018.0,Unprovoked,australia,New South Wales,"Flat Rock, Ballina",Surf,M,27.32,N,,Unespcific,6298.0,Oceania
6,Jun,2018.0,Unprovoked,brazil,Pernambuco,"Piedade Beach, Recife",Swim,M,18.0,Y,afternoon,Tiger shark,6297.0,South_America
7,May,2018.0,Unprovoked,usa,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fish,M,52.0,N,,Lemon shark,6296.0,North_America
8,May,2018.0,Unprovoked,usa,Florida,"Cocoa Beach, Brevard  County",Seashore,M,15.0,N,afternoon,Lemon shark,6295.0,North_America
9,May,2018.0,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",Seashore,M,12.0,N,afternoon,Unespcific,6294.0,North_America
10,May,2018.0,Provoked,australia,Queensland,Cairns Aquarium,Shark_related_act.,M,32.0,N,day-morning,Grey shark,6293.0,Oceania
11,May,2018.0,Unprovoked,usa,South Carolina,"Isle of Palms,  Charleston County",On_boat,M,10.0,N,,Unespcific,6292.0,North_America
12,May,2018.0,Unprovoked,usa,South Carolina,"Hilton Head Island, Beaufort County",Swim,M,10.0,N,afternoon,Unespcific,6291.0,North_America
13,May,2018.0,Invalid,england,Cornwall,Off Land's End,Fish,M,21.0,N,day-morning,Tiger shark,6290.0,Unknown
14,May,2018.0,Provoked,australia,Westerm Australia,Dugong Bay,Shark_related_act.,F,34.0,N,,Tiger shark,6289.0,Oceania
15,May,2018.0,Unprovoked,south africa,Eastern Cape Province,"Nahoon Beach, East London",Surf,M,27.32,N,day-morning,Unespcific,6288.0,Africa
16,May,2018.0,Questionable,australia,New South Wales,"Sharpes Beach, Ballina",Surf,M,27.32,N,day-morning,Tiger shark,6287.0,Oceania
17,Apr,2018.0,Unprovoked,thailand,Hua Hin,Sai Noi Beach,Swim,M,27.32,N,,Unespcific,6286.0,Unknown
18,Apr,2018.0,Unprovoked,costa rica,Cocos Island,Manuelita,Diving,M,30.0,N,day-morning,Tiger shark,6285.0,Unknown
19,Apr,2018.0,Unprovoked,australia,Western Australia,Gearys Beach,Surf,M,27.32,N,afternoon,Unespcific,6284.0,Oceania
20,Apr,2018.0,Questionable,australia,New South Wales,Lennox Head,Surf,M,27.32,N,day-morning,Tiger shark,6283.0,Oceania
21,Apr,2018.0,Unprovoked,australia,Western Australia,"Surfers Point, Prevelly",Surf,M,60.0,N,day-morning,Unespcific,6282.0,Oceania
22,Apr,2018.0,Unprovoked,australia,Western Australia,"South Point, Gracetown",Surf,M,27.32,N,afternoon,White shark,6281.0,Oceania
23,Apr,2018.0,Unprovoked,maldives,Alifu Alifu Atoll,Madoogali,Fish,M,32.0,N,night,Tiger shark,6280.0,Unknown
24,Apr,2018.0,Unprovoked,south africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Rare_act.,M,33.0,N,day-morning,White shark,6279.0,Africa
25,Apr,2018.0,Unprovoked,usa,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",On_boat,M,29.0,N,,Unespcific,6278.0,North_America
26,Apr,2018.0,Unprovoked,thailand,Hua Hin,Sai Noi Beach,Swim,M,54.0,N,,Lemon shark,6277.0,Unknown
27,Apr,2018.0,Unprovoked,brazil,Pernambuco,Piedade,Swim,M,34.0,,,Unespcific,6276.0,South_America
28,Apr,2018.0,Unprovoked,australia,Western Australia,"Lefthanders, Margaret River Area",Surf,M,41.0,N,,Unespcific,6275.0,Oceania
29,Apr,2018.0,Unprovoked,australia,Western Australia,"Cobblestones, Margaret River Area",Surf,M,37.0,N,day-morning,Unespcific,6274.0,Oceania
30,Apr,2018.0,Unprovoked,bahamas,New Providence,Nirvana Beach,Surf,M,27.32,N,day-morning,Tiger shark,6273.0,Central_America
31,Apr,2018.0,Invalid,brazil,Alagoas,"Praia de Sauaçuhy, Maceió",Fish,M,56.0,N,,Tiger shark,6272.0,South_America
32,Apr,2018.0,Unprovoked,new caledonia,,"Magenta Beach, Noumea",Surf,M,27.32,N,afternoon,Unespcific,6271.0,Oceania
33,Apr,2018.0,Unprovoked,bahamas,,Bimini,Swim,M,12.0,N,night,Lemon shark,6270.0,Central_America
34,Apr,2018.0,Unprovoked,south africa,Eastern Cape Province,St. Francis Bay,Surf,M,19.0,N,afternoon,White shark,6269.0,Africa
35,Mar,2018.0,Unprovoked,usa,Hawaii,Kukio Beach,On_boat,M,25.0,N,day-morning,Tiger shark,6268.0,North_America
36,Mar,2018.0,Unprovoked,australia,Western Australia,Waterman's Bay,Seashore,M,10.0,N,afternoon,Unespcific,6267.0,Oceania
37,Mar,2018.0,Unprovoked,australia,Victoria,Lorne,Swim,M,69.0,N,afternoon,Unespcific,6266.0,Oceania
38,Mar,2018.0,Unprovoked,australia,Victoria,Winkipop,Surf,M,18.0,N,day-morning,Unespcific,6265.0,Oceania
39,Feb,2018.0,Unprovoked,south africa,KwaZulu-Natal,Durban,Diving,M,38.0,N,,Tiger shark,6264.0,Africa
40,Feb,2018.0,Unprovoked,australia,New South Wales,"Little Congwong Beach, La Perouse ",Swim,F,55.0,N,night,White shark,6263.0,Oceania
41,Feb,2018.0,Provoked,australia,Victoria,Westernport Bay,Fish,M,34.0,N,night,Unespcific,6262.0,Oceania
42,Feb,2018.0,Unprovoked,australia,New South Wales,"Surf Beach, Kiama",Seashore,M,35.0,N,afternoon,Lemon shark,6261.0,Oceania
43,Feb,2018.0,Invalid,australia,Queensland,Mooloolaba Beach,Swim,F,27.32,N,night,Lemon shark,6260.0,Oceania
44,Feb,2018.0,Invalid,brazil,"Boi Island, Victoria",Espirito Santo,Fish,F,46.0,N,,Tiger shark,6259.0,South_America
45,Feb,2018.0,Unprovoked,ecuador,Galapagos Islands,Santa Fe Island,Diving,M,45.0,N,,Lemon shark,6258.0,Unknown
46,Feb,2018.0,Invalid,australia,Western Australia,"Avalon Point, Manurah",Fish,M,14.0,N,,Unespcific,6257.0,Oceania
47,Jan,2018.0,Unprovoked,australia,Western Australia,Cone Bay,,M,18.0,N,day-morning,Lemon shark,6256.0,Oceania
48,Jan,2018.0,Unprovoked,new caledonia,,Nouville,Fish,M,40.0,N,afternoon,Lemon shark,6255.0,Oceania
49,Jan,2018.0,Unprovoked,australia,Queensland,Lizard Island,Diving,M,27.32,N,afternoon,Grey shark,6254.0,Oceania
50,Jan,2018.0,Unprovoked,australia,New South Wales,Martin Islet,Diving,M,28.0,N,,White shark,6253.0,Oceania
51,Jan,2018.0,Unprovoked,brazil,Fernando de Noronha,Conceicao Beach,Surf,M,20.0,N,afternoon,Lemon shark,6252.0,South_America
52,Jan,2018.0,Unprovoked,australia,Western Australia,"South Point, Gracetown",Surf,M,27.32,N,,Unespcific,6251.0,Oceania
53,Dec,2017.0,Unprovoked,usa,Hawaii,"Hultin's Beach, Oahu",Surf,F,54.0,N,night,Tiger shark,6250.0,North_America
54,Dec,2017.0,Unprovoked,usa,California,"Drakes Estero, Point Reyes, Marin County",Surf,F,35.0,N,afternoon,Unespcific,6249.0,North_America
55,Dec,2017.0,Provoked,malaysia,Sepang,Bagan Lalang Beach,Fish,M,24.0,N,,Lemon shark,6248.0,Unknown
56,Dec,2017.0,Unprovoked,bahamas,,,Diving,F,25.0,N,,Unespcific,6247.0,Central_America
57,Nov,2017.0,Unprovoked,costa rica,Cocos Island,Manuelita,Diving,M,26.0,N,,Tiger shark,6246.0,Unknown
58,Nov,2017.0,Unprovoked,costa rica,Cocos Island,Manuelita,Diving,F,49.0,Y,,Tiger shark,6245.0,Unknown
59,Nov,2017.0,Sea Disaster,libya,, Gars Garabulli,On_boat,M,27.32,Y,,Tiger shark,6244.0,Unknown
60,Nov,2017.0,Unprovoked,usa,California,"Stillwater Cove, Monterey County",Fish,M,25.0,N,afternoon,White shark,6243.0,North_America
61,Nov,2017.0,Unprovoked,usa,Florida,"Floridana Beach, Brevard County",Surf,F,14.0,N,afternoon,Unespcific,6242.0,North_America
62,Nov,2017.0,Unprovoked,,,,Surf,M,24.0,N,,Unespcific,6241.0,Unknown
63,Nov,2017.0,Unprovoked,australia,New South Wales,Avoca Beach,Surf,M,25.0,N,afternoon,Unespcific,6240.0,Oceania
64,Nov,2017.0,Unprovoked,cuba,Holquin Province,Guardalavaca Beach,Rare_act.,M,22.0,Y,night,Tiger shark,6239.0,Unknown
65,Oct,2017.0,Unprovoked,australia,Queensland,Magnetic Island,Diving,M,7.0,N,,Tiger shark,6238.0,Oceania
66,Oct,2017.0,Unprovoked,australia,New South Wales,Birubi Point,Surf,M,31.0,N,day-morning,Unespcific,6237.0,Oceania
67,Oct,2017.0,Unprovoked,usa,Hawaii,"White Plains Beach, Oahu",On_boat,M,27.32,N,afternoon,Unespcific,6236.0,North_America
68,Oct,2017.0,Unprovoked,mauritius,Pamplemousses ,Le Goulet,Swim,M,27.32,N,afternoon,Unespcific,6235.0,Unknown
69,Oct,2017.0,Unprovoked,usa,Florida,"Juno Beach, Palm Beach County",Surf,M,17.0,N,afternoon,Unespcific,6234.0,North_America
70,Oct,2017.0,Unprovoked,usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swim,F,60.0,N,day-morning,Unespcific,6233.0,North_America
71,Oct,2017.0,Unprovoked,australia,South Australia,Normanville,Fish,F,15.0,N,afternoon,White shark,6232.0,Oceania
72,Oct,2017.0,Unprovoked,new zealand,North Island,"Off Tapuna Beach, Auckand",On_boat,M,27.32,N,day-morning,Unespcific,6231.0,Oceania
73,Oct,2017.0,Unprovoked,usa,Florida,"Lantana Beach, Palm Beach County",Swim,M,27.32,N,afternoon,Tiger shark,6230.0,North_America
74,Oct,2017.0,Unprovoked,usa,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surf,M,54.0,N,night,Tiger shark,6229.0,North_America
75,Oct,2017.0,Unprovoked,usa,Hawaii,"Kamaole Beach Park, Maui ",Diving,F,40.0,N,afternoon,Unespcific,6228.0,North_America
76,Oct,2017.0,Invalid,south africa,Western Cape Province,Dyer Island,Diving,M,31.0,,,Tiger shark,6227.0,Africa
77,Sep,2017.0,Unprovoked,usa,Florida,"Hanna Park, Jacksonville, Duval County",Surf,M,27.32,N,day-morning,Unespcific,6226.0,North_America
78,Sep,2017.0,Unprovoked,australia,Western Australia,Gracetown,Surf,M,27.32,N,night,White shark,6225.0,Oceania
79,Sep,2017.0,Invalid,usa,New York,Rockaway,Surf,M,33.0,,afternoon,Tiger shark,6224.0,North_America
80,Sep,2017.0,Unprovoked,usa,Florida,Fort Worth,Surf,M,27.32,N,afternoon,Tiger shark,6223.0,North_America
81,Sep,2017.0,Unprovoked,usa,Florida,Palm Beach County,Surf,M,27.32,N,day-morning,Unespcific,6222.0,North_America
82,Sep,2017.0,Unprovoked,spain,Canary Islands,Gran Canaria ,Surf,M,13.0,N,,Lemon shark,6221.0,Unknown
83,Sep,2017.0,Unprovoked,usa,Florida,"Ponce Inlet, Volusia County",Surf,M,28.0,N,afternoon,Unespcific,6220.0,North_America
84,Sep,2017.0,Invalid,south africa,Western Cape Province,Hawston,Diving,M,25.0,,afternoon,Unespcific,6219.0,Africa
85,Sep,2017.0,,samoa, Upolu Island,Nofoalii,Fish,M,27.32,N,night,Unespcific,6218.0,Unknown
86,Sep,2017.0,Boat,australia,Westerm Australia,Esperance,Fish,F,27.32,N,,White shark,6217.0,Oceania
87,Sep,2017.0,Unprovoked,usa,Florida,"Ponce Inlet, Volusia County",Surf,M,18.0,N,night,Tiger shark,6216.0,North_America
88,Sep,2017.0,Unprovoked,australia,Westerm Australia,Sam's Creek area,Swim,M,27.32,N,afternoon,Unespcific,6215.0,Oceania
89,Sep,2017.0,Unprovoked,australia,New South Wales,Iluka Beach,Surf,M,35.0,N,day-morning,White shark,6214.0,Oceania
90,Sep,2017.0,Unprovoked,solomon islands,,Owarigi Island,Fish,M,27.32,N,,Unespcific,6213.0,Unknown
91,Sep,2017.0,Unprovoked,south africa,Western Cape Province,Dyer Island,Swim,M,27.32,Y,day-morning,Unespcific,6212.0,Africa
92,Sep,2017.0,Unprovoked,japan,Shizuoka Prefecture,Iwata City,Surf,M,42.0,N,day-morning,Unespcific,6211.0,Unknown
93,Sep,2017.0,Unprovoked,usa,Florida,"Marathon, Monroe County",Swim,M,27.32,N,,Unespcific,6210.0,North_America
94,Sep,2017.0,Unprovoked,usa,Texas,"South Padre Island, Cameron County",Swim,F,27.32,N,,Unespcific,6209.0,North_America
95,Sep,2017.0,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Surf,M,17.0,N,day-morning,Unespcific,6208.0,North_America
96,Aug,2017.0,Unprovoked,australia,Victoria,Cathedral Rock,Surf,M,37.0,N,day-morning,White shark,6207.0,Oceania
97,Aug,2017.0,Unprovoked,usa,Florida,Bathtub Beach ,Seashore,F,3.0,N,afternoon,Unespcific,6206.0,North_America
98,Aug,2017.0,Invalid,spain,Castellón,Grao de Moncofa,Swim,F,11.0,,afternoon,Tiger shark,6205.0,Unknown
99,Aug,2017.0,Unprovoked,new zealand,North Island,Off Tutukaka,On_boat,M,27.32,N,,Unespcific,6204.0,Oceania
100,Aug,2017.0,Unprovoked,usa,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",Rare_act.,M,69.0,N,day-morning,White shark,6203.0,North_America
101,Aug,2017.0,Unprovoked,bahamas,,,Fish,M,27.32,N,afternoon,Unespcific,6202.0,Central_America
102,Aug,2017.0,Unprovoked,usa,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swim,M,13.0,N,afternoon,Tiger shark,6201.0,North_America
103,Aug,2017.0,Unprovoked,egypt,Red Sea Protectorate,Marsa Ghalib,Diving,F,20.0,N,,White shark,6200.0,Unknown
104,Aug,2017.0,Provoked,usa,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fish,M,34.0,N,night,Unespcific,6199.0,North_America
105,Aug,2017.0,Boat,usa,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Fish,M,27.32,N,day-morning,White shark,6198.0,North_America
106,Jul,2017.0,Unprovoked,usa,Florida,"Jacksonvlle, Duval County",On_boat,M,15.0,N,night,Unespcific,6197.0,North_America
107,Jul,2017.0,Invalid,usa,South Carolina,"Hilton Head Island, Beaufort County",Swim,M,10.0,,afternoon,Lemon shark,6196.0,North_America
108,Jul,2017.0,Unprovoked,usa,South Carolina,"DeBordieu Colony, Georgetown County",,F,12.0,N,afternoon,Unespcific,6195.0,North_America
109,Jul,2017.0,Unprovoked,bahamas,New Providence District,Rose Island,Diving,F,27.32,N,,Unespcific,6194.0,Central_America
110,Jul,2017.0,Unprovoked,bahamas,40 miles off Grand Bahama Island,,Fish,M,27.32,N,,Unespcific,6193.0,Central_America
111,Jul,2017.0,Unprovoked,"st helena, british overseas territory",Ascension Island,English Bay,Surf,M,37.0,N,afternoon,Unespcific,6192.0,Unknown
112,Jul,2017.0,Unprovoked,usa,New Jersey,Ventnor,,F,27.32,N,,Tiger shark,6191.0,North_America
113,Jul,2017.0,Unprovoked,spain,Majorca,"Estanys Beach, Colonia de Sant",Swim,F,27.32,N,afternoon,Lemon shark,6190.0,Unknown
114,Jul,2017.0,Unprovoked,usa,Florida,"Snipes Point, Monroe County",,F,40.0,N,afternoon,Lemon shark,6189.0,North_America
115,Jul,2017.0,Invalid,usa,South Carolina,"Hilton Head Island, Beaufort County",Swim,F,8.0,,,Tiger shark,6188.0,North_America
116,Jul,2017.0,Boat,usa,California,"Stearns Wharf, Santa Barbara",On_boat,M,40.0,N,day-morning,White shark,6187.0,North_America
117,Jul,2017.0,Unprovoked,usa,California,"Seal Rock, Goleta Beach, Santa Barbara",Rare_act.,M,50.0,N,day-morning,White shark,6186.0,North_America
118,Jul,2017.0,Unprovoked,usa,Washington,"South Beach, Westport, Grays Harbor County",Surf,M,27.32,N,night,White shark,6185.0,North_America
119,Jul,2017.0,Unprovoked,australia,Western Australia,Floreat Beach,Surf,M,27.32,N,day-morning,Unespcific,6184.0,Oceania
120,Jul,2017.0,Boat,usa,California,"Santa Cruz, Santa Cruz County",On_boat,M,27.32,N,day-morning,White shark,6183.0,North_America
121,Jul,2017.0,Unprovoked,usa,Florida,"Haulover Beach, Miami-Dade County",Swim,M,46.0,N,afternoon,Tiger shark,6182.0,North_America
122,Jul,2017.0,Provoked,mexico,Tabasco,"Sánchez Magallanes, Cárdenas",Fish,M,32.0,N,,Tiger shark,6181.0,Central_America
123,Jul,2017.0,Unprovoked,south africa,Eastern Cape Province,"Nahoon Reef, East London",Surf,F,13.0,N,afternoon,White shark,6180.0,Africa
124,Jul,2017.0,Invalid,comoros,Anjouan,Moya,Fish,M,27.32,,,Tiger shark,6179.0,Unknown
125,Jun,2017.0,Invalid,usa,South Carolina,Wrightsville Beach,Fish,M,27.32,,night,Tiger shark,6178.0,North_America
126,Jun,2017.0,Unprovoked,usa,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swim,F,16.0,N,,Unespcific,6177.0,North_America
127,Jun,2017.0,Unprovoked,usa,Florida,"Singer Island, Palm Beach County",Surf,M,27.32,N,day-morning,Unespcific,6176.0,North_America
128,Jun,2017.0,Unprovoked,usa,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swim,F,14.0,N,,Tiger shark,6175.0,North_America
129,Jun,2017.0,Unprovoked,reunion,,Roches Noire,On_boat,M,34.0,N,day-morning,Lemon shark,6174.0,Africa
130,Jun,2017.0,Unprovoked,spain,Ibiza Island,Playa den Bossa,Swim,M,82.0,N,afternoon,Unespcific,6173.0,Unknown
131,,2017.0,Unprovoked,french polynesia,Marquesas,"Atuona Bay, Hiva Oa Island",Surf,M,27.32,N,,Unespcific,6172.0,Unknown
132,Jun,2017.0,Unprovoked,bahamas,,,Shark_related_act.,F,27.32,N,,Unespcific,6171.0,Central_America
133,Jun,2017.0,Unprovoked,australia,Western Australia,"Point Casuarina, Bunbury",On_boat,M,48.0,N,day-morning,White shark,6170.0,Oceania
134,Jun,2017.0,Unprovoked,australia,Victoria,"Flinders, Mornington Penisula",Surf,F,27.32,N,afternoon,Lemon shark,6169.0,Oceania
135,Jun,2017.0,Unprovoked,usa,Florida,"Ponce Inlet, Volusia County",Surf,M,19.0,N,day-morning,Unespcific,6168.0,North_America
136,Jun,2017.0,Unprovoked,united kingdom,South Devon,Bantham Beach,Surf,M,30.0,N,,Tiger shark,6167.0,Unknown
137,Jun,2017.0,Unprovoked,usa,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Fish,M,27.32,N,,Unespcific,6166.0,North_America
138,Jun,2017.0,Unprovoked,bahamas,New Providence ,Athol Island,Diving,F,32.0,N,afternoon,Tiger shark,6165.0,Central_America
139,May,2017.0,Provoked,usa,South Carolina,"Awendaw, Charleston County",Rare_act.,F,20.0,N,,Unespcific,6164.0,North_America
140,May,2017.0,Unprovoked,usa,Florida,Off Jupiter,Shark_related_act.,M,27.32,N,day-morning,Tiger shark,6163.0,North_America
141,May,2017.0,Invalid,australia,New South Wales,Evans Head,Fish,M,73.0,N,,Unespcific,6162.0,Oceania
142,May,2017.0,Unprovoked,united arab emirates,"Sharjah, ",Khor Fakkan,Fish,M,41.0,N,day-morning,Unespcific,6161.0,Unknown
143,May,2017.0,Provoked,australia,Queensland,Weipa,Rare_act.,M,29.0,N,,Unespcific,6160.0,Oceania
144,May,2017.0,Unprovoked,mexico,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Diving,M,33.0,Y,afternoon,Unespcific,6159.0,Central_America
145,May,2017.0,Invalid,usa,California,"Sunset Beach, Orange County",Surf,F,18.0,,afternoon,Tiger shark,6158.0,North_America
146,Apr,2017.0,Unprovoked,usa,California,"San Onofre, San Diego County ",Swim,F,27.32,N,afternoon,Unespcific,6157.0,North_America
147,Apr,2017.0,Unprovoked,south africa,Western Cape Province,"Keurbooms, Plettenberg Bay",Surf,M,14.0,N,afternoon,Unespcific,6156.0,Africa
148,Apr,2017.0,Unprovoked,usa,South Carolina,"Folly Beach, Charleston County",Surf,F,33.0,N,day-morning,Unespcific,6155.0,North_America
149,Apr,2017.0,Unprovoked,reunion,Saint-Leu,Pointe au Sal,On_boat,M,28.0,Y,day-morning,Unespcific,6154.0,Africa
150,Apr,2017.0,Unprovoked,new zealand,South Island,"Porpoise Bay, Catlins",On_boat,F,20.0,N,afternoon,Unespcific,6153.0,Oceania
151,Apr,2017.0,Invalid,usa,Florida,,Rare_act.,F,27.32,,,Tiger shark,6152.0,North_America
152,Apr,2017.0,Unprovoked,"st helena, british overseas territory",Ascension Island,English Bay,Diving,F,40.0,N,afternoon,Unespcific,6151.0,Unknown
153,Apr,2017.0,Invalid,usa,South Carolina,Georgetown County,Swim,M,27.32,,day-morning,Tiger shark,6150.0,North_America
154,Apr,2017.0,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",,F,27.32,N,afternoon,Unespcific,6149.0,North_America
155,Apr,2017.0,Unprovoked,australia,Western Australia,Kelpies near Wylie Bay,Surf,F,17.0,Y,afternoon,White shark,6148.0,Oceania
156,Apr,2017.0,Unprovoked,usa,Hawaii,"Kekaha Beach, Kauai",Surf,M,28.0,N,day-morning,Tiger shark,6147.0,North_America
157,Apr,2017.0,Unprovoked,usa,Florida,"Hanna Park, Jacksonville, Duval County",Surf,M,17.0,N,afternoon,Unespcific,6146.0,North_America
158,Apr,2017.0,Unprovoked,usa,Florida,St. Augustine,Surf,F,27.32,N,afternoon,Unespcific,6145.0,North_America
159,Apr,2017.0,Invalid,south africa,KwaZulu-Natal,Protea Banks,Diving,M,68.0,,,Tiger shark,6144.0,Africa
160,Apr,2017.0,Unprovoked,usa,Florida,"Ormond Beach, Volusia County",Surf,F,35.0,N,afternoon,Unespcific,6143.0,North_America
161,Apr,2017.0,Unprovoked,usa,Florida,"Melbourne Beach, Brevard County",On_boat,F,10.0,N,afternoon,Unespcific,6142.0,North_America
162,Apr,2017.0,Unprovoked,usa,Florida,"Melbourne Beach, Brevard County",Swim,F,21.0,N,afternoon,Unespcific,6141.0,North_America
163,Apr,2017.0,Unprovoked,usa,Florida,"Daytona, Volusia County",Swim,M,16.0,N,,Unespcific,6140.0,North_America
164,Apr,2017.0,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Swim,F,51.0,N,afternoon,Unespcific,6139.0,North_America
165,Apr,2017.0,Unprovoked,australia,Queensland,Moreton Bay,Rare_act.,M,39.0,N,afternoon,Unespcific,6138.0,Oceania
166,Apr,2017.0,Unprovoked,usa,Florida,"Destin, Okaloosa County",Swim,F,17.0,N,afternoon,Tiger shark,6137.0,North_America
167,Mar,2017.0,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Surf,M,58.0,N,day-morning,Unespcific,6136.0,North_America
168,Mar,2017.0,Unprovoked,australia,New South Wales,The Farm,On_boat,M,30.0,N,night,Unespcific,6135.0,Oceania
169,Mar,2017.0,Boat,usa,California,Monterey Bay,On_boat,M,27.32,N,afternoon,White shark,6134.0,North_America
170,Mar,2017.0,Unprovoked,philippines,Luzon Island,"Villamar, Caoayan",Fish,M,25.0,N,,Unespcific,6133.0,Asia
171,Mar,2017.0,Unprovoked,bahamas,Great Exuma,,Rare_act.,M,58.0,N,,Lemon shark,6132.0,Central_America
172,Feb,2017.0,Unprovoked,australia,Western Australia,Mauds Point,Diving,F,27.32,N,day-morning,Lemon shark,6131.0,Oceania
173,Feb,2017.0,Unprovoked,australia,Western Australia,"Falcon Bay Beach, Mandurah",Surf,M,27.32,N,day-morning,Unespcific,6130.0,Oceania
174,Feb,2017.0,Unprovoked,reunion,Saint-Andre,,On_boat,M,26.0,Y,day-morning,Unespcific,6129.0,Africa
175,Feb,2017.0,Unprovoked,australia,Queensland,Eva Rock,Fish,M,26.0,N,day-morning,Unespcific,6128.0,Oceania
176,Feb,2017.0,Unprovoked,usa,Florida,"Melbourne Beach, Brevard County",Swim,M,22.0,N,afternoon,Unespcific,6127.0,North_America
177,Feb,2017.0,Provoked,brazil,Pernambuco,Fernando de Noronha Marine Park,Rare_act.,F,27.32,N,afternoon,Lemon shark,6126.0,South_America
178,Feb,2017.0,Boat,south africa,KwaZulu-Natal,Eastmoor Crescent Beach,Fish,M,27.32,N,,Tiger shark,6125.0,Africa
179,Feb,2017.0,Boat,usa,South Carolina,16 miles off Hilton Head,Shark_related_act.,M,27.32,N,,White shark,6124.0,North_America
180,Feb,2017.0,Unprovoked,bahamas,Bimini,,Diving,M,37.0,N,,Unespcific,6123.0,Central_America
181,Jan,2017.0,Unprovoked,brazil,Pernambuco,"Boa Viagem, Recife",Swim,M,21.0,N,afternoon,Unespcific,6122.0,South_America
182,Jan,2017.0,Unprovoked,usa,Florida,"Vero Beach, Indian River County",,M,27.32,N,afternoon,Unespcific,6121.0,North_America
183,Jan,2017.0,Unprovoked,australia,Queensland,"Boot Reef, Torres Strait",Diving,M,55.0,N,afternoon,Lemon shark,6120.0,Oceania
184,Jan,2017.0,Unprovoked,australia,Queensland,Clairview,Swim,M,57.0,N,afternoon,Unespcific,6119.0,Oceania
185,Jan,2017.0,Unprovoked,usa,Florida,Jensen Beach,,M,27.32,N,day-morning,Unespcific,6118.0,North_America
186,Jan,2017.0,Unprovoked,indonesia,Bali,Balian Beach,Surf,M,48.0,N,day-morning,Lemon shark,6117.0,Unknown
187,Jan,,Invalid,australia,Queensland,,Fish,M,35.0,,,Lemon shark,6116.0,Oceania
188,Jan,2017.0,Unprovoked,usa,Florida,"Blockhouse Beach, Brevard County",Seashore,M,47.0,N,afternoon,Unespcific,6115.0,North_America
189,Jan,2017.0,Invalid,australia,New South Wales,Merimbula,Seashore,M,20.0,,night,Tiger shark,6114.0,Oceania
190,Dec,2016.0,Unprovoked,usa,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surf,M,16.0,N,afternoon,Unespcific,6113.0,North_America
191,Dec,2016.0,Unprovoked,australia,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Diving,F,27.32,N,day-morning,Lemon shark,6112.0,Oceania
192,Dec,2016.0,Unprovoked,south africa,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf,M,55.0,N,day-morning,White shark,6111.0,Africa
193,Dec,2016.0,Unprovoked,australia,Western Australia,Trigg Beach,Diving,M,61.0,N,day-morning,Unespcific,6110.0,Oceania
194,Dec,2016.0,Unprovoked,french polynesia,Tuamotos,Takapoto Atoll,Fish,M,40.0,N,,Unespcific,6109.0,Unknown
195,Dec,2016.0,Invalid,usa,Florida,"New Smyrna Beach, Volusia County",Surf,M,19.0,,afternoon,Tiger shark,6108.0,North_America
196,Dec,2016.0,Provoked,australia,New South Wales,Merimbula,Fish,M,20.0,N,night-morning,Unespcific,6107.0,Oceania
197,Dec,2016.0,Unprovoked,australia,New South Wales,Booti Booti National Park,Surf,M,65.0,N,day-morning,White shark,6106.0,Oceania
198,Nov,2016.0,Provoked,australia,Victoria,Queenscliff,Fish,M,73.0,N,day-morning,Lemon shark,6105.0,Oceania
199,Nov,2016.0,Unprovoked,usa,Hawaii,"Kamaole Beach Park I, Maui",Swim,F,58.0,N,day-morning,Tiger shark,6104.0,North_America
